hhkey	occaskey	movedate	value	number	article	brand	variant	channel
71fcc74df3b4f9199bb63118d6009b6a	2b8a403dc4fddd5c4ca208ee38959829	20150116	25.9	1	c5fc127a3b281c8982bcf86349341584	2de1b1dcab5d34f91870faac163d5347	-	DISCOUNTER
71fcc74df3b4f9199bb63118d6009b6a	49ffd2642b4ff636e51110a241c26668	20150504	14.8	1	820064fe439acf4789b376894ae90471	a36f123361bcefab91c76ea916f3c543	-	SUPERMARKET
9f6251a7d0c6aa44f833f8006119138b	9281ad2fd33fdda835aa86cb4965ea7c	20150626	119.6	4	5b26fa6d175194ad35824f366d9668b3	84b49131d0a5f4efee447c76e488ead6	-	DISCOUNTER
47187a24bf554aa9fb13041936e6f854	fe2fcd29a5c8dc40902e8e2929196a91	20150110	50	1	4e4a9033092705bf9ad85906ee8c3dec	10a69b4711c975d14eb547d5b30a9085	S ZAVYAZKAMI	Other
47187a24bf554aa9fb13041936e6f854	41e5157fa9106ec600f920aa64541862	20150330	59.95	1	f255a760476c9819f3838659e8f0ba13	8037a578948923c78029ba4a3cc2b276	S ZATYAZHKAMI	DISCOUNTER
8a9e0ca7014a60a51a8d19fe6ab6c51d	ceb096ff5406d68c0266c047de448a0c	20150422	53.78	2	1469056fa69dc1e695d78c2c025151e1	20c2e147bd2e11a066b8cb45edac57e1	PROCHNYE	HYPERMARKET
8a9e0ca7014a60a51a8d19fe6ab6c51d	ceb096ff5406d68c0266c047de448a0c	20150422	56.6	4	820064fe439acf4789b376894ae90471	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
6f88bb0863d6fa7b3c4f4e3cadb45144	011bb2c86a37c837b7594da5b2ce5294	20150125	55.02	2	3cb7d9efac06c9345484a0c5121ee657	1da2ed0ed8b8c10935d0838c98539b68	S ZAVYAZKAMI	HYPERMARKET
6f88bb0863d6fa7b3c4f4e3cadb45144	4651545243f792d0b8e735956cab6e54	20150418	38.31	1	0a8fb8de0c51b52b2d53c00e411bfd6b	bce8400798057f2ae9f7aa6a4ea9722d	S ZAVYAZKAMI	HYPERMARKET
6f88bb0863d6fa7b3c4f4e3cadb45144	1573892eee8c6d9a49681d5df89d3cc1	20150523	38.31	1	0a8fb8de0c51b52b2d53c00e411bfd6b	bce8400798057f2ae9f7aa6a4ea9722d	S ZAVYAZKAMI	HYPERMARKET
6f88bb0863d6fa7b3c4f4e3cadb45144	031e9a4b6f4ca5fd8cc285dc7964795b	20150919	40.99	1	0a8fb8de0c51b52b2d53c00e411bfd6b	bce8400798057f2ae9f7aa6a4ea9722d	S ZAVYAZKAMI	HYPERMARKET
6f88bb0863d6fa7b3c4f4e3cadb45144	4c5f6a0a78bf42b97ce53da9694d68aa	20151121	32.03	1	273fc31abf848bddee0a696faebe0ca5	bce8400798057f2ae9f7aa6a4ea9722d	S ZAVYAZKAMI	HYPERMARKET
d112bfd93f37cdceade320034c38f652	5ac5b8cab4b6d2967fdafbaaf6075c88	20150421	35.22	1	3173cade5609985597e62fd6aec3d3f1	bce8400798057f2ae9f7aa6a4ea9722d	-	HYPERMARKET
d112bfd93f37cdceade320034c38f652	eef4aa0a6bfd3a9ca1bd58cdf7d1d9eb	20150830	90	2	bbef720fd0b6dcfd6b7f2b5008625a49	20c0cd92b7ac38ec8e065d1b051bdff2	-	PERFUMERY
9cde0a79ee093cab5850c58dfd5b17f4	6add35ef2d5f20d937cab8254ee7bec5	20150210	137.4	2	b177a811c1d8a9e9dd240effd1e66cc0	1da2ed0ed8b8c10935d0838c98539b68	S ZAVYAZKAMI	HYPERMARKET
9cde0a79ee093cab5850c58dfd5b17f4	689cbc4caeb7a30794190c8af8a5bbc2	20150218	53	2	4415984d070f320cf684edbdb4813487	0f7f1587948847c61549713821313f52	-	HYPERMARKET
af432820e26269ac76747ed4fe916fce	04e1ab5febde80e926e162d53d340db9	20150820	15	1	5f0d860afb17374762b3f555d09962c4	5530bb2876ec174284ee3c1766772ce9	-	PERFUMERY
af432820e26269ac76747ed4fe916fce	5566bd3b423a64709cb5950ed19f25cd	20150915	21	1	aa56134a00b0b3ecdf2da04390a63b81	a6d3c155dca3f02449d2f38e5b0a13f9	-	DISCOUNTER
af432820e26269ac76747ed4fe916fce	d3ded4b0a372992276bf89b930f84882	20151105	47	1	1c6266a55d8bcc6bb0058c0644e1c2c7	a7b236e353d582de70bd6d602f66ba9e	-	SUPERMARKET
854e33b44f38420f834b69709685e144	32ca8cd9764684b1d0acc2678326be04	20150113	19.95	1	0b49ff578ef956386c7ba91e2aebe6e3	71af2dc4887352c2fe62abd414b1fd42	-	DISCOUNTER
854e33b44f38420f834b69709685e144	f9a831af52f23b2fe69973009002e57b	20150419	43	1	902eccdbbad3104763523e26e58c5994	20c2e147bd2e11a066b8cb45edac57e1	PROCHNYE	DISCOUNTER
28cfc5965980c2a895e0eeca7afe0f39	5614e204724f7dc49ac2ec5929863616	20141219	200	4	4b3515d368acd5de14afcc6eec9d741d	a9ee1db666611d85f4337cd06d9b8a71	-	Other
28cfc5965980c2a895e0eeca7afe0f39	6045ba6deb48a6594e3f0471a22238c6	20150123	64	2	3ef37ce5961acd4a54bcab6b9ff3f54f	0c1d7ba9e0ab6e4634592ce122e11690	-	Other
28cfc5965980c2a895e0eeca7afe0f39	8a86da1143e6ab1be6e9f00a8d52272a	20150202	96	3	3ef37ce5961acd4a54bcab6b9ff3f54f	0c1d7ba9e0ab6e4634592ce122e11690	-	SUPERMARKET
28cfc5965980c2a895e0eeca7afe0f39	f35bba0ad327d7b3bc594acb67da397f	20150321	204	4	0f530cc635ba57aa7dab927fa79ce1f5	7fc30691dfb14b404672aaf25f0d2e4a	-	Other
28cfc5965980c2a895e0eeca7afe0f39	b4096dd032be54834cbdf82c622d9668	20150422	153	3	0f530cc635ba57aa7dab927fa79ce1f5	7fc30691dfb14b404672aaf25f0d2e4a	-	DISCOUNTER
28cfc5965980c2a895e0eeca7afe0f39	4b6553e96ed8d152f072b51e3660a9ad	20150905	232	8	8169bc90051e35fdba86dbfbfb762355	71af2dc4887352c2fe62abd414b1fd42	-	DISCOUNTER
05e4a206db6333e80150103c9926616e	5161f4888543384eb8fc260471cd1269	20141231	18.32	1	7b8e299e22cb994fbb67623705173d01	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
05e4a206db6333e80150103c9926616e	0e7cb4752f6cb003a64b9a096e19c434	20150129	36.64	2	7b8e299e22cb994fbb67623705173d01	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
05e4a206db6333e80150103c9926616e	92789561cb2f3689ae554a1d00971b29	20150303	16.74	1	31ac927d8df252742c208e4a70246436	1ed9236827876f0cc882481adea3e03a	-	HYPERMARKET
05e4a206db6333e80150103c9926616e	2283abb7890c1692cef6fb9227ed64ef	20150328	18.32	1	7b8e299e22cb994fbb67623705173d01	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
05e4a206db6333e80150103c9926616e	5b66f0f8a9673eb8602227c11dc2b664	20150507	18.32	1	7b8e299e22cb994fbb67623705173d01	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
05e4a206db6333e80150103c9926616e	aea37b0f96908e8bb677dca92d89e779	20150605	36.64	2	7b8e299e22cb994fbb67623705173d01	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
05e4a206db6333e80150103c9926616e	964911b337e446c8a93db6f242bfd8c8	20150908	39.92	2	7b8e299e22cb994fbb67623705173d01	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
04f5c54e7ddc823536e27cb2e6206fe1	3521291a48625716004e9a27a84bf18e	20150914	21.2	1	7b8e299e22cb994fbb67623705173d01	a36f123361bcefab91c76ea916f3c543	-	SUPERMARKET
04f5c54e7ddc823536e27cb2e6206fe1	6856432c564f34841d249fdf4e10df6c	20151018	24.5	1	31ac927d8df252742c208e4a70246436	1ed9236827876f0cc882481adea3e03a	-	SUPERMARKET
28f27585dfc91ec7604d69cc967aa00d	5255a642b16d1fa40f08cfff58dcf365	20141216	25.54	2	820064fe439acf4789b376894ae90471	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
28f27585dfc91ec7604d69cc967aa00d	3ab9a0e4af419e8171a7910d47e016cb	20150111	27.93	3	273618317995d39d831ae07de347e21a	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
28f27585dfc91ec7604d69cc967aa00d	865dae1123c7ca0f4de5b78b98cad262	20150127	69.9	1	893dc57e9862c6446513ac7e662b9e53	0c1d7ba9e0ab6e4634592ce122e11690	SUPERPROCHNYE	SUPERMARKET
28f27585dfc91ec7604d69cc967aa00d	04c2e48d20bd8146d088ee87e0a03256	20150221	41.37	3	820064fe439acf4789b376894ae90471	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
28f27585dfc91ec7604d69cc967aa00d	cf3186edb0a021f3ef857a7ba99e8eca	20150412	23.9	1	53d7f23b25962a53cf13e699ede51bb4	a5913edb5f6b479b63ff153545bd50c6	-	SUPERMARKET
28f27585dfc91ec7604d69cc967aa00d	c71d096e3e1b595c119a9dbcd064c71a	20150426	9.9	1	730254a87510a4d5f2bec63c6912bbcd	a7b236e353d582de70bd6d602f66ba9e	-	SUPERMARKET
28f27585dfc91ec7604d69cc967aa00d	cfb1acfa91e0a387528903c585244440	20150429	14.14	1	820064fe439acf4789b376894ae90471	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
28f27585dfc91ec7604d69cc967aa00d	6af86ab315e328c1f1da920bbc6aa464	20150523	9.9	1	730254a87510a4d5f2bec63c6912bbcd	a7b236e353d582de70bd6d602f66ba9e	-	SUPERMARKET
28f27585dfc91ec7604d69cc967aa00d	aafc085a6a5f1ff2fa55af2107cba28b	20150605	9.9	1	730254a87510a4d5f2bec63c6912bbcd	a7b236e353d582de70bd6d602f66ba9e	-	SUPERMARKET
28f27585dfc91ec7604d69cc967aa00d	03ca23cb7c1b3a12226229cb3e661a30	20150617	16.95	1	b6d10e912fe24f08dda59956d5ecf122	71af2dc4887352c2fe62abd414b1fd42	S ZAVYAZKAMI	DISCOUNTER
28f27585dfc91ec7604d69cc967aa00d	2002ddc50080ad80a96bd62f125c756e	20150626	9.9	1	730254a87510a4d5f2bec63c6912bbcd	a7b236e353d582de70bd6d602f66ba9e	-	SUPERMARKET
28f27585dfc91ec7604d69cc967aa00d	a9ad4b6cab8a641336588e0cfb6a391f	20150709	60.08	4	820064fe439acf4789b376894ae90471	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
28f27585dfc91ec7604d69cc967aa00d	f7918bc0408cacbf8a79d01711647a0b	20150720	19.69	1	7b8e299e22cb994fbb67623705173d01	a36f123361bcefab91c76ea916f3c543	-	HYPERMARKET
28f27585dfc91ec7604d69cc967aa00d	cea0cbe2e1661b9a8d8a2df4f06563db	20150923	83.7	2	0cabb4b6dbd164f6b8bd83e7dc998e59	54a86222bba9350642bf5d3d9396155b	S ZAVYAZKAMI	HYPERMARKET
28f27585dfc91ec7604d69cc967aa00d	89da6737dafca7bc5b59bb19b33bc86f	20151030	29.9	1	987af5806f2a5d2599e0f19a099d4bab	8037a578948923c78029ba4a3cc2b276	-	SUPERMARKET
337e380447dd521004ad638df4415156	373674d04eaac2069c1a5bd2982abc24	20150124	10	1	4f48f03c3cc710d37ebb8671f9c69914	1ed9236827876f0cc882481adea3e03a	-	HYPERMARKET
